mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_1,param_alpha_2,param_fit_intercept,param_lambda_1,param_lambda_2,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0037809371948242187,0.003727793861200196,0.0,0.0,1e-06,1e-05,True,1e-06,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 1e-06}",-1670.6608819179132,-1566.8163645739223,-1778.6122225006216,-1432.7828108304343,-1534.1987880097356,-1596.6142135665255,118.51625207068624,25
0.0031622886657714845,0.00340637338586504,0.002019023895263672,0.00352209185795275,1e-06,1e-05,True,1e-06,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 1e-05}",-1670.66088191818,-1566.8163645738682,-1778.612222500485,-1432.7828108304834,-1534.1987880096017,-1596.6142135665236,118.51625207068084,22
0.0011672019958496095,0.0018417354447839245,0.004759359359741211,0.004270197704227293,1e-06,1e-05,True,1e-06,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-06, 'lambda_2': 0.0001}",-1670.6608819208575,-1566.8163645733302,-1778.6122224991268,-1432.78281083097,-1534.1987880082565,-1596.6142135665082,118.5162520706325,19
0.003955984115600586,0.004563413187770559,0.0012217998504638673,0.001948225695691423,1e-06,1e-05,True,1e-05,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 1e-06}",-1670.6608787479074,-1566.8163652014412,-1778.6122240762681,-1432.7828102606716,-1534.1987895691457,-1596.6142135710868,118.51625212021742,53
0.005246734619140625,0.0061990713193622125,0.00380854606628418,0.004675557422838755,1e-06,1e-05,True,1e-05,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 1e-05}",-1670.6608787481734,-1566.8163652013875,-1778.6122240761324,-1432.782810260721,-1534.1987895690115,-1596.6142135710852,118.51625212021216,51
0.003011322021484375,0.004013052420120828,0.004135608673095703,0.0060779668898975235,1e-06,1e-05,True,1e-05,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 1e-05, 'lambda_2': 0.0001}",-1670.660878750849,-1566.816365200848,-1778.6122240747745,-1432.7828102612073,-1534.1987895676657,-1596.614213571069,118.51625212016386,46
0.006141519546508789,0.007524142607206421,0.0,0.0,1e-06,1e-05,True,0.0001,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 1e-06}",-1670.6608470478309,-1566.8163714766251,-1778.6122398327448,-1432.7828045630451,-1534.1988051632409,-1596.6142136166973,118.5162526155323,81
0.007429885864257813,0.006387095361572734,0.0007660388946533203,0.0012920651033173681,1e-06,1e-05,True,0.0001,1e-05,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 1e-05}",-1670.6608470480978,-1566.8163714765712,-1778.6122398326092,-1432.7828045630924,-1534.1988051631063,-1596.6142136166955,118.51625261552783,78
0.0018473625183105468,0.0015400427983852456,0.0008804798126220703,0.0010963194966482773,1e-06,1e-05,True,0.0001,0.0001,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': True, 'lambda_1': 0.0001, 'lambda_2': 0.0001}",-1670.6608470507751,-1566.816371476032,-1778.6122398312507,-1432.7828045635802,-1534.198805161762,-1596.6142136166798,118.516252615479,74
0.006404209136962891,0.005906474198403587,0.0003029346466064453,0.0006058692932128906,1e-06,1e-05,False,1e-06,1e-06,"{'alpha_1': 1e-06, 'alpha_2': 1e-05, 'fit_intercept': False, 'lambda_1': 1e-06, 'lambda_2': 1e-06}",-834748.3283642819,-833719.6515378702,-824447.5614328047,-823986.6308069896,-835997.478639657,-830579.9301563207,5247.109070988331,107
